ID,Name,Mann-Whitney U,p-value,p-value CI low,p-value CI high,q-value (BY),Cliff's delta,delta CI low,delta CI high,Cliff's interpretation,Dominance,kernel mean %,application mean %
CWE-710,Improper Adherence to Coding Standards,381.000000,0.0101822982877,9.74074216612e-05,0.571279643694,0.207451169361,0.577640,0.128364,0.871636,large,kernel,75.030479,34.958383
CWE-664,Improper Control of a Resource Through its Lifetime,371.000000,0.0190822363407,0.00010912770008,0.738366096584,0.207451169361,0.536232,0.014441,0.879969,large,kernel,89.085554,76.089313
CWE-697,Incorrect Comparison,272.000000,0.051980461333,4.12713922396e-08,1,0.376734581661,0.126294,-0.043478,0.428571,negligible,kernel,0.007375,0.023375
CWE-707,Improper Neutralization,152.000000,0.0938334308653,0.00901764161272,0.631175302768,0.510051720632,-0.370600,-0.579710,-0.105590,medium,application,0.361249,10.100570
CWE-693,Protection Mechanism Failure,268.000000,0.166262920365,5.36820394932e-06,1,0.72300618513,0.109731,-0.057971,0.407867,negligible,kernel,0.051626,0.029515
CWE-682,Incorrect Calculation,301.000000,0.220471150091,0.00336154979971,0.949772959998,0.798945453426,0.246377,-0.089027,0.565217,small,kernel,1.885048,4.302367
CWE-284,Improper Access Control,182.000000,0.2705119777,0.0290351479597,0.893621992696,0.840243326651,-0.246377,-0.494824,0.012474,small,application,0.950869,19.694066
UNKNOWN,Unknown,274.500000,0.320347499761,0.000429029828186,0.975604194338,0.870658740422,0.136646,-0.144928,0.480331,negligible,kernel,0.017653,2.389633
